Date,Open,High,Low,Close,Volume
03-02-2020,347.24,359.63,346.28,358,"66,74,885"
04-02-2020,361,369.57,356.1,369.01,"71,61,451"
05-02-2020,375.13,375.25,362.3,369.67,"64,37,026"
06-02-2020,369.6,371.55,362.51,366.95,"39,20,428"
07-02-2020,365.04,371.8,363.57,366.77,"43,85,227"
10-02-2020,365,374.8,362.52,371.07,"52,94,138"
11-02-2020,373.75,378.11,369.72,373.69,"47,72,870"
12-02-2020,377.18,380.62,375.88,380.01,"46,24,772"
13-02-2020,376.96,385.37,376.51,381.4,"44,85,383"
14-02-2020,381.47,385.15,379.43,380.4,"37,36,266"
18-02-2020,379.3,389.54,379.19,387.78,"51,80,400"
19-02-2020,388.12,392.95,384.9,386.19,"48,96,368"
20-02-2020,386.56,389.7,376.68,386,"40,79,425"
21-02-2020,385.33,387.32,377.9,380.07,"39,35,618"
24-02-2020,364.76,372.82,361,368.7,"69,36,418"
25-02-2020,372,375.65,357.72,360.09,"64,81,243"
26-02-2020,366.31,382,365,379.24,"89,61,126"
27-02-2020,371.46,391.56,370.6,371.71,"1,09,67,700"
28-02-2020,364.21,376.77,356.8,369.03,"1,11,78,570"
02-03-2020,373.11,381.36,364.5,381.05,"69,97,891"
03-03-2020,381.03,393.52,367.4,368.77,"83,64,623"
04-03-2020,377.77,384.01,370.51,383.79,"54,87,340"
05-03-2020,381,391.4,368.64,372.78,"87,46,985"
06-03-2020,367.7,371.31,356.85,368.97,"81,47,165"
09-03-2020,343.86,357.47,341.72,346.49,"74,05,458"
10-03-2020,356.43,364.54,347.85,364.13,"76,04,444"
11-03-2020,358.92,362.98,344.79,349.92,"60,58,782"
12-03-2020,326.5,335.72,307.32,315.25,"1,20,71,590"
13-03-2020,330.51,336.42,307.39,336.3,"94,58,197"
16-03-2020,306.63,334.35,294.75,298.84,"1,05,59,940"
17-03-2020,306.19,322.9,290.25,319.75,"1,00,13,910"
18-03-2020,302.4,331.58,300,315.47,"1,25,93,650"
19-03-2020,324.33,348.51,316.82,332.03,"1,06,15,960"
20-03-2020,342.31,350.49,332,332.83,"1,08,53,850"
23-03-2020,347.89,366.11,340.88,360.27,"1,34,49,380"
24-03-2020,369.99,372.93,353.03,357.32,"1,16,38,680"
25-03-2020,361.02,362,339.17,342.39,"87,67,171"
26-03-2020,344,363.84,341.73,362.99,"72,35,016"
27-03-2020,359.09,368.56,353,357.12,"79,48,775"
30-03-2020,363,377.8,361.17,370.96,"86,21,964"
31-03-2020,367.93,383.01,366.44,375.5,"93,66,464"
01-04-2020,376.05,380.23,361.02,364.08,"66,72,454"
02-04-2020,364.08,370.99,360.06,370.08,"45,92,477"
03-04-2020,367.47,370.9,357.51,361.76,"48,60,768"
06-04-2020,365.22,380.29,361.71,379.96,"81,21,240"
07-04-2020,380,381.33,369.34,372.28,"70,46,438"
08-04-2020,374.01,378.39,368.31,371.12,"69,08,879"
09-04-2020,371.06,372.1,363.03,370.72,"77,11,296"
13-04-2020,371.31,400.51,367.7,396.72,"1,16,92,920"
14-04-2020,397.5,417.82,394.85,413.55,"1,15,80,980"
15-04-2020,413,434.98,412.25,426.75,"1,35,61,220"
16-04-2020,437,449.52,431.61,439.17,"1,61,28,670"
17-04-2020,431,432,414.7,422.96,"1,26,16,260"
20-04-2020,435.17,444.49,430.56,437.49,"1,26,55,820"
21-04-2020,444.77,447,425.6,433.83,"2,31,77,551"
22-04-2020,429.73,433,413,421.42,"2,11,23,770"
23-04-2020,419.26,438.41,419.26,426.7,"1,39,52,330"
24-04-2020,425,427.17,415.88,424.99,"86,70,362"
27-04-2020,425,429,420.84,421.38,"62,77,480"
28-04-2020,419.99,421,402.91,403.83,"1,01,01,230"
29-04-2020,399.53,415.86,393.6,411.89,"96,93,137"
30-04-2020,410.31,424.44,408,419.85,"79,53,975"
01-05-2020,415.1,427.97,411.73,415.27,"82,99,858"
04-05-2020,417.78,428.54,414.87,428.15,"77,99,058"
05-05-2020,427.56,431,421.56,424.68,"62,86,293"
06-05-2020,429.3,439.77,426.39,434.26,"66,60,737"
07-05-2020,436.89,438.88,430.66,436.53,"56,50,281"
08-05-2020,434.14,442,433.64,435.55,"50,54,308"
11-05-2020,436.33,444.89,435.56,440.52,"54,86,037"
12-05-2020,442,444.17,431.36,431.82,"45,98,211"
13-05-2020,435.69,447,427.27,438.27,"70,14,563"
14-05-2020,444.9,452.38,432.82,441.95,"90,07,467"
15-05-2020,440.7,455,437.51,454.19,"72,43,998"
18-05-2020,451.16,456.36,443.35,452.58,"77,80,309"
19-05-2020,453.4,458.97,450.47,451.04,"48,10,487"
20-05-2020,454.25,455.81,444,447.67,"56,07,257"
21-05-2020,448.56,448.96,430.25,436.25,"91,17,325"
22-05-2020,437,439.09,427.18,429.32,"54,22,334"
26-05-2020,427.77,428.5,413.14,414.77,"78,81,115"
27-05-2020,410.38,420.02,397.86,419.89,"1,04,46,340"
28-05-2020,417.24,422.37,411.5,413.44,"56,60,160"
29-05-2020,417.46,420.3,411.85,419.73,"52,70,484"
01-06-2020,418.83,426.72,415.98,425.92,"37,48,573"
02-06-2020,425.87,427.59,419.46,427.31,"34,94,801"
03-06-2020,426.95,427.1,418.05,421.97,"43,16,044"
04-06-2020,422.39,428.71,410.03,414.33,"54,10,529"
05-06-2020,407.29,420.24,404.25,419.6,"50,99,561"
08-06-2020,416,420.8,406.5,419.49,"58,51,453"
09-06-2020,421.65,434.73,420.31,434.05,"67,96,999"
10-06-2020,436,439.69,430.55,434.48,"48,96,893"
11-06-2020,428.2,445.57,424.16,425.56,"74,62,868"
12-06-2020,429,434.06,412.45,418.07,"64,61,127"
15-06-2020,421.4,426.49,415.42,425.5,"44,71,499"
16-06-2020,425.76,437.96,425.18,436.13,"55,14,016"
17-06-2020,441.82,450.46,439.22,447.77,"65,29,568"
18-06-2020,448.73,452.76,442.8,449.87,"42,77,627"
19-06-2020,449.12,453.97,445.6,453.72,"59,33,651"
22-06-2020,455.01,468.59,454.21,468.04,"62,72,105"
23-06-2020,466.5,474.01,464.5,466.26,"59,48,436"
24-06-2020,468.54,472.36,454,457.85,"48,26,191"
25-06-2020,458.86,467.01,454,465.91,"41,34,513"
26-06-2020,466.39,468.03,442.24,443.4,"68,04,726"
29-06-2020,445.23,447.67,432.14,447.24,"48,43,978"
30-06-2020,450.02,457.59,447,455.04,"41,98,545"
01-07-2020,454,488.23,454,485.64,"97,05,870"
02-07-2020,485.64,492.28,475.53,476.89,"63,51,485"
06-07-2020,480.77,499.5,479.8,493.81,"78,38,990"
07-07-2020,497.31,504.82,490.83,493.16,"56,69,870"
08-07-2020,498.58,505.1,493.81,502.78,"56,91,682"
09-07-2020,508.4,510,495.78,507.76,"58,40,541"
10-07-2020,519.73,555.88,511.28,548.73,"2,16,05,590"
13-07-2020,567.98,575.37,520.96,525.5,"1,83,99,020"
14-07-2020,517.08,525.5,490.49,524.88,"1,50,83,300"
15-07-2020,516.3,529,510.18,523.26,"1,00,66,650"
16-07-2020,526.48,535.54,504.36,527.39,"2,44,98,990"
17-07-2020,494.87,503.59,484.14,492.99,"2,49,91,350"
20-07-2020,489.14,504.5,484.2,502.41,"1,19,40,310"
21-07-2020,506,506.22,488.61,490.1,"91,27,218"
22-07-2020,492.19,497.2,487.2,489.82,"69,54,078"
23-07-2020,491.13,491.9,472.02,477.58,"77,22,034"
24-07-2020,468.77,487.17,467.54,480.45,"77,46,247"
27-07-2020,484.51,496.92,482.31,495.65,"78,63,069"
28-07-2020,496.02,497.79,487.76,488.51,"59,86,727"
29-07-2020,492.25,494.92,484.13,484.48,"66,11,769"
30-07-2020,480.71,488.35,477.51,485.8,"66,08,569"
31-07-2020,488.29,494.8,484.5,488.88,"59,24,310"
03-08-2020,490.86,503.09,490.23,498.62,"58,76,190"
04-08-2020,498.65,510.44,498.65,509.64,"56,07,968"
05-08-2020,508.68,510.1,501.2,502.11,"43,13,526"
06-08-2020,504.11,510.82,498.7,509.08,"37,25,861"
07-08-2020,505.45,508.29,486.68,494.73,"59,10,348"
10-08-2020,493.35,497.46,478.63,483.38,"46,91,185"
11-08-2020,479.75,480.92,466.55,466.93,"73,29,226"
12-08-2020,471.34,482.49,470.18,475.47,"54,41,243"
13-08-2020,478.4,484.45,476.45,481.33,"30,08,933"
14-08-2020,482.82,488.33,480.21,482.68,"29,43,487"
